,std,name
0,KR7098120009,마이크로컨텍솔
1,KR7009520008,포스코엠텍
2,KR7095570008,AJ네트웍스
3,KR7006840003,AK홀딩스
4,KR7282330000,BGF리테일
5,KR7027410000,BGF
6,KR7138930003,BNK금융지주
7,KR7001461003,BYC우
8,KR7001460005,BYC
9,KR7001041003,CJ우
10,KR700104K010,CJ4우(전환)
11,KR7001040005,CJ
12,KR7011151008,CJ씨푸드1우
13,KR7011150000,CJ씨푸드
14,KR7058820002,CMG제약
15,KR7000590000,CS홀딩스
16,KR7012030003,DB
17,KR7016610008,DB금융투자
18,KR7005830005,DB손해보험
19,KR7000990002,DB하이텍
20,KR7139130009,DGB금융지주
21,KR7001530005,DI동일
22,KR7000211003,DL우
23,KR7000210005,DL
24,KR737550K011,DL이앤씨우
25,KR737550K029,DL이앤씨2우(전환)
26,KR7375500006,DL이앤씨
27,KR7155660004,DSR
28,KR7069730000,DSR제강
29,KR7017860008,DS단석
30,KR7017940008,E1
31,KR7365550003,ESR켄달스퀘어리츠
32,KR7050120005,ES큐브
33,KR7383220001,F&F
34,KR7007700008,F&F홀딩스
35,KR7078931003,GS우
36,KR7006360002,GS건설
37,KR7078930005,GS
38,KR7012630000,HDC
39,KR7294870001,HDC현대산업개발
40,KR7097230007,HJ중공업
41,KR7014790000,HL D&I
42,KR7024850000,HLB이노베이션
43,KR7204320006,HL만도
44,KR7060980000,HL홀딩스
45,KR7035000009,HS애드
46,KR7003560000,IHQ
47,KR7175330000,JB금융지주
48,KR7234080000,JW생명과학
49,KR7001061001,JW중외제약우
50,KR7001062009,JW중외제약2우B
51,KR7001060003,JW중외제약
52,KR7096760004,JW홀딩스
53,KR7105560007,KB금융
54,KR7432320000,KB스타리츠
55,KR7024120008,KB오토시스
56,KR7009070004,KCTC
57,KR7044180008,KD
58,KR7003620002,KG모빌리티
59,KR7016380008,KG스틸
60,KR7001390004,KG케미칼
61,KR7033180001,KH 필룩스
62,KR7001940006,KISCO홀딩스
63,KR7025000001,KPX케미칼
64,KR7092230002,KPX홀딩스
65,KR7000040006,KR모터스
66,KR7093050003,LF
67,KR7003551009,LG우
68,KR7034220004,LG디스플레이
69,KR7003550001,LG
70,KR7051901007,LG생활건강우
71,KR7051900009,LG생활건강
72,KR7373220003,LG에너지솔루션
73,KR7032640005,LG유플러스
74,KR7011070000,LG이노텍
75,KR7066571001,LG전자우
76,KR7066570003,LG전자
77,KR7051911006,LG화학우
78,KR7051910008,LG화학
79,KR7079550000,LIG넥스원
80,KR7010120004,LS ELECTRIC
